route_type,customer_priority,customer_type,driver_experience,vehicle_type,weather_conditions,traffic_level,day_of_week,delivery_window,actual_time,reattempts_required,is_cutoff
1,0,1,2,0,3,1,5,0,218.12727182970812,2,1
0,2,1,1,0,0,1,0,2,611.7527277557977,2,0
0,1,1,0,0,0,1,5,2,557.3594504055499,0,0
1,2,1,0,0,0,1,1,0,486.1713988624247,0,0
1,2,1,0,0,0,0,6,0,121.62040630294614,0,0
1,2,1,0,0,0,1,0,1,437.7069384681925,0,0
1,1,0,0,0,0,1,3,2,258.1676183241892,1,1
0,2,0,1,1,0,1,5,2,424.56457248368326,0,1
1,1,1,1,2,0,2,6,0,398.64044834620427,1,0
0,1,1,1,0,0,1,4,2,365.0927379576402,0,0
1,0,1,1,0,0,2,0,0,508.6553265447774,0,1
0,2,0,2,0,0,2,5,0,414.82846948839824,0,1
0,2,1,0,0,2,2,4,0,218.8832261971031,0,0
1,2,1,2,0,0,2,1,2,275.98266152136745,1,0
1,1,1,0,0,0,1,6,1,281.2771088492334,0,0
1,2,1,2,0,3,2,2,2,56.05441410163737,0,1
1,1,1,0,1,0,2,3,2,288.89418978650593,0,0
1,2,1,1,1,0,1,0,0,447.6990424823632,2,0
1,2,1,1,0,0,1,0,1,216.41702449811896,0,1
1,1,1,1,0,0,0,0,0,481.2230758035017,0,0
1,1,0,2,2,0,1,5,2,483.6576922362599,0,1
1,2,1,0,0,2,1,6,1,77.0264478267817,0,1
1,2,1,1,1,0,2,2,0,246.8639833371166,0,1
1,2,0,1,0,0,1,6,2,197.57768291672664,0,1
1,1,1,1,0,0,0,4,2,24.945236749134978,3,1
0,2,1,2,0,0,1,5,2,712.2049469033691,0,0
1,1,1,2,1,2,2,0,2,456.9909926415839,0,1
1,2,0,0,0,2,2,2,0,312.23838942229565,1,1
1,1,1,0,0,0,2,5,0,516.0880994574817,0,0
1,1,1,0,0,3,2,4,0,198.28572405892044,0,1
1,2,1,0,0,2,1,1,2,117.04274779769338,0,1
1,1,1,0,0,0,1,6,1,398.0868340169472,1,0
1,0,0,2,1,0,1,0,2,479.4988025677314,1,1
0,2,0,2,2,2,2,5,0,99.12537463958483,0,1
0,0,0,2,2,3,1,4,2,560.8503099451169,0,1
0,1,1,1,2,0,2,5,0,196.39532851858092,1,0
1,1,1,1,2,3,0,0,2,336.7957648712939,0,0
1,2,0,1,2,1,1,4,2,445.10617774486303,0,1
0,1,0,2,1,1,0,1,1,307.3696885059373,0,1
1,2,1,2,0,0,1,0,0,41.21135932752536,0,0
1,2,1,2,2,0,2,3,2,317.197662661438,0,0
1,2,1,2,0,0,0,2,2,262.1493556039456,0,0
1,1,0,0,2,0,2,4,1,307.8344811980238,0,1
0,2,0,2,0,2,1,0,0,626.1940285123193,0,1
1,2,1,0,2,0,2,2,2,545.7813692523235,0,1
0,2,1,2,2,0,0,5,0,320.59247054072813,0,0
1,1,1,1,1,2,1,1,0,445.944855058125,0,0
1,2,1,2,0,2,0,0,0,37.927581170977845,1,0
1,2,1,1,0,0,1,3,0,449.3145104402298,0,0
1,2,1,2,2,1,2,6,0,539.4105793711318,0,1
0,1,1,1,1,2,2,1,2,182.1749717286077,0,0
0,2,1,1,2,2,1,6,2,704.533961988054,0,0
0,1,1,1,1,0,1,4,2,314.419942408111,0,0
0,0,0,1,0,0,2,3,0,594.2518644079968,3,1
1,2,0,2,1,0,1,6,0,241.9508685240085,0,1
0,2,0,0,2,1,2,0,0,315.2717621695122,0,1
1,2,1,1,1,2,0,6,2,574.8883900603137,0,1
1,1,1,2,0,0,1,2,0,45.84210501377959,0,0
1,2,1,0,2,0,1,6,2,575.6984616681603,0,0
1,1,1,1,2,0,2,3,1,210.32720247954143,2,1
1,1,0,2,2,0,0,6,2,310.3057383539736,0,1
1,1,1,2,0,0,1,5,1,491.2941006533133,0,0
0,2,1,2,0,0,0,5,1,373.4564272593815,1,0
1,1,1,2,0,0,1,4,1,213.81849593811543,0,1
1,0,0,2,1,0,1,6,2,19.44919774358545,0,0
1,1,1,0,0,2,0,6,0,305.0842155186743,0,0
1,0,1,1,0,3,2,0,2,130.01838813345697,0,0
0,0,1,2,0,0,1,4,1,191.8253186596603,0,0
1,1,0,0,2,0,1,3,1,125.93523386752686,2,1
0,0,1,2,2,0,2,2,0,664.1118669187434,1,1
0,0,1,1,2,0,0,4,2,680.6839635800294,0,1
1,1,0,1,2,1,1,3,1,597.0298609050925,0,1
1,0,1,1,1,0,2,4,0,510.5511400081392,0,0
0,1,1,1,2,0,2,5,0,92.18843728681826,0,0
0,1,1,1,1,0,2,0,2,82.38966003044342,0,0
0,2,1,0,2,0,0,6,0,295.75861737751444,0,0
0,1,1,1,2,0,1,0,2,97.58371647541657,2,1
1,1,0,1,0,2,2,0,2,123.0176364562736,1,0
1,0,1,0,0,1,0,2,0,567.479088636543,0,0
1,0,1,0,0,0,1,2,2,252.4386271745054,0,0
0,2,1,0,2,0,0,3,2,718.5061508575436,0,0
1,2,0,1,2,0,1,0,0,383.6882024463845,0,0
1,0,1,2,2,0,1,0,2,535.6633836873117,0,1
1,1,1,0,2,0,1,0,2,363.4313884416393,0,0
1,0,1,0,2,2,0,5,2,231.7510390228813,0,1
1,1,0,0,1,0,2,4,2,168.0752457504533,2,1
0,0,1,2,2,0,0,4,0,549.857094892662,0,0
1,2,1,0,2,0,2,3,2,456.4561626011057,0,0
0,0,0,0,0,0,1,2,1,332.45988369847515,0,1
1,0,1,1,2,2,2,3,0,140.77640916003654,0,0
1,0,1,2,0,0,1,3,1,530.3236812447808,0,1
0,2,0,1,2,0,1,3,1,365.38345940068297,0,0
0,0,1,1,0,0,1,3,1,323.1274082140977,0,0
1,2,1,1,2,3,1,6,2,566.088891461387,0,1
0,1,1,1,2,1,1,3,0,253.7447150916904,0,0
1,2,1,2,1,0,1,4,0,529.9748046713929,0,0
1,1,1,1,2,0,1,6,0,212.1872688188291,0,0
1,0,0,1,1,0,2,5,2,284.0935728010269,2,1
1,1,1,2,1,0,0,4,0,195.99682766156064,0,0
1,0,1,2,1,0,0,5,2,195.8886515217923,0,1
1,2,0,0,1,0,1,1,1,284.21684961668194,0,1
1,1,1,0,0,0,1,3,2,363.80683919189534,0,1
1,0,0,0,1,0,2,1,1,292.31160328333283,0,0
1,1,1,2,0,0,1,5,0,161.37751186292013,0,0
0,2,0,2,1,2,0,1,1,175.38725770399645,0,1
1,2,0,2,0,0,1,4,2,586.7233616500572,0,1
1,1,1,0,1,0,2,3,0,80.51204828527378,0,0
0,2,1,2,1,2,0,5,0,403.4566755761112,0,0
1,2,0,0,0,0,1,4,2,302.71476097636304,0,1
1,0,0,1,1,0,1,5,2,316.0726391746198,0,1
1,1,1,2,0,0,1,6,2,125.16102604141555,0,0
1,1,1,1,0,0,0,4,2,150.0450537959854,3,0
0,2,1,0,0,0,1,6,0,616.4006509845475,1,1
0,2,0,2,0,0,1,4,2,552.778457714923,0,1
